,CSP_TKE_RS,CSP_TKE_SH,CSP_TKE_BU,CSP_TKE_TR,CSP_TKE_DI,CSP_TKE_SGS,CSP_TKE,CSP_TKE_TEND,CSP_P
169,1.1687457e-05,-4.5680544e-09,-3.4183625e-08,0.0,0.0,0.0,1.1687457e-05,-4.3319734e-08,68630.58
170,1.2778262e-05,-2.2960323e-09,-3.966832e-08,0.0,0.0,0.0,1.2778262e-05,-4.4260386e-08,68630.56
171,1.3827194e-05,-1.3302492e-09,-4.2371518e-08,0.0,0.0,0.0,1.3827194e-05,-4.5032017e-08,68630.555
172,1.4722078e-05,-2.322446e-09,-3.948656e-08,0.0,0.0,0.0,1.4722078e-05,-4.413145e-08,68630.55
173,1.5452988e-05,-4.509254e-09,-3.7168217e-08,0.0,0.0,0.0,1.5452988e-05,-4.6186724e-08,68630.54
174,1.6056718e-05,-6.215777e-09,-4.0885194e-08,0.0,0.0,0.0,1.6056718e-05,-5.331675e-08,68630.52
175,1.6615038e-05,-6.4779417e-09,-4.6269022e-08,0.0,0.0,0.0,1.6615038e-05,-5.9224902e-08,68630.516
176,1.7265322e-05,-5.7744507e-09,-4.4737007e-08,0.0,0.0,0.0,1.7265322e-05,-5.6285906e-08,68630.51
177,1.8060717e-05,-5.1734794e-09,-3.5799253e-08,0.0,0.0,0.0,1.8060717e-05,-4.6146212e-08,68630.5
178,1.885046e-05,-5.93585e-09,-2.4520716e-08,0.0,0.0,0.0,1.885046e-05,-3.6392414e-08,68630.484
179,1.9443221e-05,-8.614595e-09,-1.3878574e-08,0.0,0.0,0.0,1.9443221e-05,-3.1107763e-08,68630.48
180,1.9779416e-05,-1.21857875e-08,-8.072826e-09,0.0,0.0,0.0,1.9779416e-05,-3.24444e-08,68630.47
181,2.0035257e-05,-1.5218031e-08,-8.733269e-09,0.0,0.0,0.0,2.0035257e-05,-3.9169333e-08,68630.45
182,2.0635951e-05,-1.6773733e-08,-1.2836571e-08,0.0,0.0,0.0,2.0635951e-05,-4.6384038e-08,68630.445
183,2.2006227e-05,-1.6318896e-08,-2.6753547e-08,0.0,0.0,0.0,2.2006227e-05,-5.939134e-08,68630.44
184,2.4298733e-05,-1.3744995e-08,-4.8533668e-08,0.0,0.0,0.0,2.4298733e-05,-7.602366e-08,68630.43
185,2.7223394e-05,-9.8705675e-09,-6.561808e-08,0.0,0.0,0.0,2.7223394e-05,-8.535922e-08,68630.414
186,3.020882e-05,-6.999519e-09,-6.69461e-08,0.0,0.0,0.0,3.020882e-05,-8.094514e-08,68630.41
187,3.273151e-05,-7.4209354e-09,-4.9797027e-08,0.0,0.0,0.0,3.273151e-05,-6.46389e-08,68630.4
188,3.4602526e-05,-1.0599997e-08,-3.142554e-08,0.0,0.0,0.0,3.4602526e-05,-5.2625534e-08,68630.39
189,3.5864414e-05,-1.3913269e-08,-2.2572012e-08,0.0,0.0,0.0,3.5864414e-05,-5.039855e-08,68630.38
190,3.6651407e-05,-1.527452e-08,-2.5112094e-08,0.0,0.0,0.0,3.6651407e-05,-5.5661133e-08,68630.37
191,3.7488753e-05,-1.4388923e-08,-3.7413642e-08,0.0,0.0,0.0,3.7488753e-05,-6.619149e-08,68630.36
192,3.9123403e-05,-1.2341319e-08,-4.9511105e-08,0.0,0.0,0.0,3.9123403e-05,-7.419374e-08,68630.35
193,4.205121e-05,-1.0217413e-08,-6.361433e-08,0.0,0.0,0.0,4.205121e-05,-8.4049155e-08,68630.34
194,4.6401412e-05,-8.27537e-09,-8.268255e-08,0.0,0.0,0.0,4.6401412e-05,-9.923329e-08,68630.336
195,5.19133e-05,-7.609906e-09,-1.0513412e-07,0.0,0.0,0.0,5.19133e-05,-1.2035393e-07,68630.32
196,5.7891353e-05,-1.0521434e-08,-1.11283505e-07,0.0,0.0,0.0,5.7891353e-05,-1.3232638e-07,68630.31
197,6.365073e-05,-1.8630608e-08,-8.7339075e-08,0.0,0.0,0.0,6.365073e-05,-1.2460029e-07,68630.305
198,6.827312e-05,-3.0021692e-08,-5.324587e-08,0.0,0.0,0.0,6.827312e-05,-1.1328926e-07,68630.3
199,7.1084934e-05,-4.038252e-08,-2.9461308e-08,0.0,0.0,0.0,7.1084934e-05,-1.1022635e-07,68630.29
200,7.248481e-05,-4.6081915e-08,-1.8244846e-08,0.0,0.0,0.0,7.248481e-05,-1.1040868e-07,68630.27
201,7.386816e-05,-4.6576695e-08,-1.209457e-08,0.0,0.0,0.0,7.386816e-05,-1.0524796e-07,68630.266
202,7.673315e-05,-4.410093e-08,-1.4727118e-08,0.0,0.0,0.0,7.673315e-05,-1.0292898e-07,68630.26
203,8.1368176e-05,-4.1706883e-08,-4.0346606e-08,0.0,0.0,0.0,8.1368176e-05,-1.2376037e-07,68630.25
204,8.717833e-05,-4.1841208e-08,-8.5872166e-08,0.0,0.0,0.0,8.717833e-05,-1.6955458e-07,68630.24
205,9.333884e-05,-4.2475282e-08,-1.4247075e-07,0.0,0.0,0.0,9.333884e-05,-2.2742131e-07,68630.234
206,9.938491e-05,-3.77373e-08,-1.878935e-07,0.0,0.0,0.0,9.938491e-05,-2.633681e-07,68630.23
207,0.00010577536,-2.5026639e-08,-2.0071398e-07,0.0,0.0,0.0,0.00010577536,-2.5076727e-07,68630.22
208,0.00011327339,-8.673144e-09,-1.848072e-07,0.0,0.0,0.0,0.00011327339,-2.0215349e-07,68630.21
